Drug	A102	A12	A136	A166	A185	A19	A201	A214	A215	A221	A222	A23	A234	A242	A245	A257	A259	A263	A35	A50	A60	A68	A94-2	B103	B13	B165	B17	B194	B202	B216	B220	B224	B235	B244	B246	B249	B251	B253	B256	B258	B260	B261	B262	B270	B273	B276	B54	B77	B80	B95	C1	C10	C11	C13-2	C15	C16-2	C17	C19	C2	C201	C3	C31	C321	C4	C5471	C5472	C6-2	C8-2	C9	
APH(3'')	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
APH(6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
OXA beta-lactamase	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
PBP to β-lactams	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	0	
TEM beta-lactamase	1	1	0	0	1	0	1	1	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	0	1	0	0	0	
Elfamycin resistant EF-Tu	2	2	2	1	0	1	2	2	0	2	2	0	1	2	2	2	0	0	2	2	1	1	1	2	2	0	1	1	2	2	2	2	2	1	2	2	2	2	0	2	2	0	2	1	2	0	2	2	0	1	2	2	0	0	2	2	2	2	1	2	2	1	2	2	2	2	2	2	1	
Glycopeptide resistance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MFS antibiotic efflux pump	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
MATE transporter	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
Sulfonamide resistant sul	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
tetracycline-resistant protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
