SampleID	Group
A102	Acute
A12	Acute
A136	Acute
A166	Acute
A185	Acute
A19	Acute
A201	Acute
A214	Acute
A215	Acute
A221	Acute
A222	Acute
A234	Acute
A23	Acute
A242	Acute
A245	Acute
A257	Acute
A259	Acute
A263	Acute
A35	Acute
A50	Acute
A60	Acute
A68	Acute
A94-2	Acute
B103	Chronic
B13	Chronic
B165	Chronic
B17	Chronic
B194	Chronic
B202	Chronic
B216	Chronic
B220	Chronic
B224	Chronic
B235	Chronic
B244	Chronic
B246	Chronic
B249	Chronic
B251	Chronic
B253	Chronic
B256	Chronic
B258	Chronic
B260	Chronic
B261	Chronic
B262	Chronic
B270	Chronic
B273	Chronic
B276	Chronic
B54	Chronic
B77	Chronic
B80	Chronic
B95	Chronic
C10	Control
C11	Control
C13-2	Control
C15	Control
C16-2	Control
C17	Control
C19	Control
C1	Control
C201	Control
C2	Control
C31	Control
C321	Control
C3	Control
C4	Control
C5471	Control
C5472	Control
C6-2	Control
C8-2	Control
C9	Control
